,open,high,low,close,volume
2021-04-20 00:30:00,101.363,103.321,97.652,98.691,140053.574
2021-04-20 00:45:00,98.691,103.803,98.478,103.397,81195.591
2021-04-20 01:00:00,103.502,104.828,102.202,103.797,86548.88
2021-04-20 01:15:00,103.765,104.924,103.06,103.667,45484.368
2021-04-20 01:30:00,103.619,103.999,101.514,101.837,63759.48
2021-04-20 01:45:00,101.974,103.5,100.244,101.552,72507.916
2021-04-20 04:30:00,101.546,106.808,101.376,106.808,53742.846
2021-04-20 04:45:00,106.832,109.249,106.073,108.937,77385.902
2021-04-20 05:00:00,109.018,109.252,106.697,106.992,34487.161
2021-04-20 05:15:00,106.945,107.47,104.194,105.117,32801.976
2021-04-20 05:30:00,105.151,106.232,104.186,104.747,39414.068
2021-04-20 05:45:00,104.814,106.005,104.21,104.879,25975.741
2021-04-20 06:00:00,104.88,106.802,104.542,104.972,35135.498
2021-04-20 06:15:00,104.972,105.817,103.403,103.584,30721.117
2021-04-20 06:30:00,103.584,104.954,100.01,101.352,69296.936
2021-04-20 06:45:00,101.353,102.364,98.8,100.3,96195.466
2021-04-20 07:00:00,100.213,101.958,99.278,101.849,73441.355
2021-04-20 07:15:00,101.732,102.226,100.149,100.33,45948.106
2021-04-20 07:30:00,100.281,101.442,99.0,100.735,50729.763
2021-04-20 07:45:00,100.705,102.107,100.5,102.107,61153.125
2021-04-20 08:00:00,102.078,104.699,101.452,104.403,56336.338
2021-04-20 08:15:00,104.396,105.026,103.351,103.662,48153.21400000001
2021-04-20 08:30:00,103.665,104.33,101.732,102.887,59940.31400000001
2021-04-20 08:45:00,102.949,104.475,102.391,103.672,35115.397000000004
2021-04-20 09:00:00,103.672,104.515,103.12,103.692,27136.529
2021-04-20 09:15:00,103.706,104.308,102.622,104.138,32048.157000000007
2021-04-20 09:30:00,104.091,104.889,103.62,104.698,32984.528
2021-04-20 09:45:00,104.69,105.053,103.301,103.742,32738.962000000003
2021-04-20 10:00:00,103.637,105.945,103.415,105.238,41847.328
2021-04-20 10:15:00,105.142,108.733,105.136,107.946,83209.75200000001
2021-04-20 10:30:00,108.183,112.8,108.028,110.865,122121.73
2021-04-20 10:45:00,110.858,114.413,110.28,111.615,100366.409
2021-04-20 11:00:00,111.572,112.869,109.132,110.313,78824.564
2021-04-20 11:15:00,110.337,110.712,108.411,108.532,53892.748
2021-04-20 11:30:00,108.517,109.8,107.598,108.207,54479.655
2021-04-20 11:45:00,108.251,111.49,108.214,110.66,54482.54
2021-04-20 12:00:00,110.659,110.948,108.448,108.583,42407.897
2021-04-20 12:15:00,108.62,109.488,108.063,108.155,39950.64
2021-04-20 12:30:00,108.182,109.884,108.182,108.452,24567.096
2021-04-20 12:45:00,108.424,108.819,107.778,108.245,32602.286
2021-04-20 13:00:00,108.173,110.153,108.151,108.957,34690.966
2021-04-20 13:15:00,108.979,110.193,108.469,110.169,23694.93
2021-04-20 13:30:00,110.169,111.581,110.109,110.843,41335.185
2021-04-20 13:45:00,110.825,112.83,110.17,112.763,49224.793
2021-04-20 14:00:00,112.684,118.0,112.345,113.065,116646.936
2021-04-20 14:15:00,113.07,114.722,109.913,111.895,91258.655
2021-04-20 14:30:00,111.865,111.94,108.394,109.471,75824.997
2021-04-20 14:45:00,109.498,110.584,107.758,109.171,66055.159
2021-04-20 15:00:00,109.283,110.449,108.554,108.718,45510.769
2021-04-20 15:15:00,108.75,109.45,106.006,106.824,72893.292
2021-04-20 15:30:00,106.93,107.734,105.62,107.18,52567.266
2021-04-20 15:45:00,107.221,109.865,107.15,109.585,38669.493
2021-04-20 16:00:00,109.581,110.635,108.099,110.407,57398.165
2021-04-20 16:15:00,110.401,110.685,108.275,108.357,42131.531
2021-04-20 16:30:00,108.48,108.64,106.435,106.617,52280.063
2021-04-20 16:45:00,106.641,108.944,106.071,108.748,45783.192
2021-04-20 17:00:00,108.744,108.89,107.345,107.651,44427.837
2021-04-20 17:15:00,107.659,107.953,106.61,107.813,22429.881
2021-04-20 17:30:00,107.768,107.768,106.859,107.301,11987.739
2021-04-20 17:45:00,107.317,108.7,107.27,108.113,21101.997000000007
2021-04-20 18:00:00,108.122,108.95,107.532,108.546,20403.049
2021-04-20 18:15:00,108.5,109.618,108.21,109.345,22023.877
2021-04-20 18:30:00,109.336,109.356,108.034,108.47,21559.307
2021-04-20 18:45:00,108.456,110.0,108.456,109.414,20009.695
2021-04-20 19:00:00,109.414,110.0,108.943,109.7,19124.281000000006
2021-04-20 19:15:00,109.701,109.982,108.157,108.65,21068.713
2021-04-20 19:30:00,108.623,111.801,108.622,111.758,30107.283
2021-04-20 19:45:00,111.797,112.774,110.75,111.205,41771.846
2021-04-20 20:00:00,111.303,111.5,109.533,110.489,28385.379
2021-04-20 20:15:00,110.5,110.98,109.101,109.817,24556.601
2021-04-20 20:30:00,109.901,109.901,108.111,108.635,26648.313
2021-04-20 20:45:00,108.716,109.374,108.5,108.613,16040.097
2021-04-20 21:00:00,108.596,111.138,107.838,110.772,42124.953
2021-04-20 21:15:00,110.938,112.095,108.2,109.27,46420.697
2021-04-20 21:30:00,109.238,111.168,109.238,110.312,30785.967
2021-04-20 21:45:00,110.397,110.795,109.525,110.307,19531.016
2021-04-20 22:00:00,110.307,111.972,110.042,111.208,25933.324
2021-04-20 22:15:00,111.207,111.207,108.5,108.501,22348.746
2021-04-20 22:30:00,108.501,109.757,108.501,109.64,16093.445
2021-04-20 22:45:00,109.734,109.964,107.665,108.574,16250.381
